Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,74.540001,74.820000,74.339996,74.680000,63.706951,1437800
2016-12-07,74.699997,75.849998,74.639999,75.599998,64.491753,2231600
2016-12-08,75.500000,76.610001,75.360001,76.169998,64.978004,2922100
2016-12-09,76.379997,77.199997,76.220001,76.870003,65.575165,1642400
2016-12-12,76.699997,77.000000,76.510002,76.529999,65.285118,1585800
2016-12-13,76.620003,77.379997,76.620003,77.089996,65.762810,1799600
2016-12-14,76.919998,77.070000,76.180000,76.589996,65.336296,2966200
2016-12-15,76.580002,76.879997,76.330002,76.470001,65.233925,2363900
2016-12-16,76.709999,76.760002,75.860001,76.040001,64.867119,10920500
2016-12-19,76.199997,76.510002,75.980003,76.040001,64.867119,2250900
2016-12-20,76.250000,76.480003,75.889999,75.889999,64.739151,2068400
2016-12-21,75.900002,76.000000,75.550003,75.820000,64.679443,1197200
2016-12-22,75.910004,76.320000,75.620003,76.139999,64.952423,1367200
2016-12-23,76.260002,76.309998,75.919998,76.040001,64.867119,1056300
2016-12-28,76.279999,76.529999,76.059998,76.220001,65.020660,2165500
2016-12-29,75.449997,75.699997,75.199997,75.389999,64.943130,1184900
2016-12-30,75.410004,75.500000,74.620003,74.760002,64.400452,1142600
2017-01-03,75.099998,75.779999,75.059998,75.760002,65.261856,1772000
2017-01-04,75.750000,76.500000,75.440002,76.400002,65.813171,1902300
2017-01-05,76.279999,76.820000,76.099998,76.570000,65.959625,1933500
2017-01-06,76.650002,76.699997,76.320000,76.589996,65.976860,1181900
2017-01-09,76.400002,76.489998,76.010002,76.349998,65.770103,1230500
2017-01-10,76.510002,77.050003,76.510002,76.959999,66.295578,1849100
2017-01-11,77.080002,77.800003,76.839996,77.680000,66.915810,2583300
2017-01-12,77.500000,77.500000,77.010002,77.199997,66.502312,2434000
